moneda,institucion,periodo,situacion_credito,responsabilidad_total
Moneda extranjera,ABC Capital,May 2020,Vencido,0
Moneda extranjera,Accendo Banco,May 2020,Vencido,0
Moneda extranjera,Actinver,May 2020,Vencido,0
Moneda extranjera,Autofin,May 2020,Vencido,0
Moneda extranjera,Banamex,May 2020,Vencido,2.74
Moneda extranjera,Banca Mifel,May 2020,Vencido,0
Moneda extranjera,Banco Base,May 2020,Vencido,0
Moneda extranjera,Banco del Bajío,May 2020,Vencido,29.97
Moneda extranjera,Bankaool,May 2020,Vencido,0
Moneda extranjera,Banorte,May 2020,Vencido,0
Moneda extranjera,Banregio,May 2020,Vencido,0
Moneda extranjera,Bansí,May 2020,Vencido,0
Moneda extranjera,BBVA Bancomer,May 2020,Vencido,0
Moneda extranjera,Finterra,May 2020,Vencido,0
Moneda extranjera,HSBC,May 2020,Vencido,0
Moneda extranjera,ICBC,May 2020,Vencido,0
Moneda extranjera,Inbursa,May 2020,Vencido,0
Moneda extranjera,Inmobiliario Mexicano,May 2020,Vencido,0
Moneda extranjera,Intercam Banco,May 2020,Vencido,0
Moneda extranjera,Invex,May 2020,Vencido,0
Moneda extranjera,Monex,May 2020,Vencido,8.77
Moneda extranjera,MUFG Bank,May 2020,Vencido,0
Moneda extranjera,Multiva,May 2020,Vencido,0
Moneda extranjera,Sabadell,May 2020,Vencido,0
Moneda extranjera,Santander,May 2020,Vencido,0
Moneda extranjera,Scotiabank,May 2020,Vencido,0
Moneda extranjera,Total Banca Múltiple,May 2020,Vencido,41.48
Moneda extranjera,Ve por Más,May 2020,Vencido,0
Moneda extranjera,ABC Capital,May 2020,Vigente,0
Moneda extranjera,Accendo Banco,May 2020,Vigente,11.17
Moneda extranjera,Actinver,May 2020,Vigente,0
Moneda extranjera,Afirme,May 2020,Vigente,36.15
Moneda extranjera,Autofin,May 2020,Vigente,0
Moneda extranjera,Banamex,May 2020,Vigente,48.45
Moneda extranjera,Banca Mifel,May 2020,Vigente,0
Moneda extranjera,Banco Ahorro Famsa,May 2020,Vigente,0
Moneda extranjera,Banco Azteca,May 2020,Vigente,0
Moneda extranjera,Banco Base,May 2020,Vigente,0
Moneda extranjera,Banco del Bajío,May 2020,Vigente,13.28
Moneda extranjera,BanCoppel,May 2020,Vigente,0
Moneda extranjera,Bancrea,May 2020,Vigente,0
Moneda extranjera,Bank of America,May 2020,Vigente,0
Moneda extranjera,Bank of China,May 2020,Vigente,0
Moneda extranjera,Bankaool,May 2020,Vigente,0
Moneda extranjera,Banorte,May 2020,Vigente,53.05
Moneda extranjera,Banregio,May 2020,Vigente,0.44
Moneda extranjera,Bansí,May 2020,Vigente,0
Moneda extranjera,BBVA Bancomer,May 2020,Vigente,274.89
Moneda extranjera,BIAfirme,May 2020,Vigente,0
Moneda extranjera,CIBanco,May 2020,Vigente,28.22
Moneda extranjera,Consubanco,May 2020,Vigente,0
Moneda extranjera,Dondé Banco,May 2020,Vigente,0
Moneda extranjera,Finterra,May 2020,Vigente,0
Moneda extranjera,HSBC,May 2020,Vigente,85.75
Moneda extranjera,ICBC,May 2020,Vigente,0
Moneda extranjera,Inbursa,May 2020,Vigente,35.99
Moneda extranjera,Inmobiliario Mexicano,May 2020,Vigente,0
Moneda extranjera,Intercam Banco,May 2020,Vigente,0
Moneda extranjera,Invex,May 2020,Vigente,0
Moneda extranjera,J.P. Morgan,May 2020,Vigente,0
Moneda extranjera,KEB Hana Bank,May 2020,Vigente,0
Moneda extranjera,Mizuho Bank,May 2020,Vigente,11.15
Moneda extranjera,Monex,May 2020,Vigente,105.68
Moneda extranjera,MUFG Bank,May 2020,Vigente,33.29
Moneda extranjera,Multiva,May 2020,Vigente,0
Moneda extranjera,Sabadell,May 2020,Vigente,24.19
Moneda extranjera,Santander,May 2020,Vigente,168.54
Moneda extranjera,Scotiabank,May 2020,Vigente,67.26
Moneda extranjera,Shinhan,May 2020,Vigente,33.33
Moneda extranjera,Total Banca Múltiple,May 2020,Vigente,1064.2
Moneda extranjera,Ve por Más,May 2020,Vigente,33.34
Moneda nacional,ABC Capital,May 2020,Vencido,0
Moneda nacional,Accendo Banco,May 2020,Vencido,0
Moneda nacional,Actinver,May 2020,Vencido,0
Moneda nacional,Autofin,May 2020,Vencido,0
Moneda nacional,Banamex,May 2020,Vencido,562.04
Moneda nacional,Banca Mifel,May 2020,Vencido,0
Moneda nacional,Banco Base,May 2020,Vencido,0
Moneda nacional,Banco del Bajío,May 2020,Vencido,151.73
Moneda nacional,Bankaool,May 2020,Vencido,0
Moneda nacional,Banorte,May 2020,Vencido,5.59
Moneda nacional,Banregio,May 2020,Vencido,104.78
Moneda nacional,Bansí,May 2020,Vencido,22.27
Moneda nacional,BBVA Bancomer,May 2020,Vencido,64.03
Moneda nacional,Finterra,May 2020,Vencido,129.75
Moneda nacional,HSBC,May 2020,Vencido,47.85
Moneda nacional,ICBC,May 2020,Vencido,0
Moneda nacional,Inbursa,May 2020,Vencido,0
Moneda nacional,Inmobiliario Mexicano,May 2020,Vencido,148.39
Moneda nacional,Intercam Banco,May 2020,Vencido,0
Moneda nacional,Invex,May 2020,Vencido,26.47
Moneda nacional,Monex,May 2020,Vencido,1.01
Moneda nacional,MUFG Bank,May 2020,Vencido,0
Moneda nacional,Multiva,May 2020,Vencido,94.06
Moneda nacional,Sabadell,May 2020,Vencido,0
Moneda nacional,Santander,May 2020,Vencido,60.99
Moneda nacional,Scotiabank,May 2020,Vencido,43.27
Moneda nacional,Total Banca Múltiple,May 2020,Vencido,1518.39
Moneda nacional,Ve por Más,May 2020,Vencido,56.16
Moneda nacional,ABC Capital,May 2020,Vigente,390.97
Moneda nacional,Accendo Banco,May 2020,Vigente,129.07
Moneda nacional,Actinver,May 2020,Vigente,763.15
Moneda nacional,Afirme,May 2020,Vigente,741.24
Moneda nacional,Autofin,May 2020,Vigente,353.11
Moneda nacional,Banamex,May 2020,Vigente,8722.42
Moneda nacional,Banca Mifel,May 2020,Vigente,2397.76
Moneda nacional,Banco Ahorro Famsa,May 2020,Vigente,42.02
Moneda nacional,Banco Azteca,May 2020,Vigente,53.6
Moneda nacional,Banco Base,May 2020,Vigente,283.35
Moneda nacional,Banco del Bajío,May 2020,Vigente,2205.66
Moneda nacional,BanCoppel,May 2020,Vigente,178.37
Moneda nacional,Bancrea,May 2020,Vigente,56.57
Moneda nacional,Bank of America,May 2020,Vigente,0
Moneda nacional,Bank of China,May 2020,Vigente,0
Moneda nacional,Bankaool,May 2020,Vigente,0
Moneda nacional,Banorte,May 2020,Vigente,6666.48
Moneda nacional,Banregio,May 2020,Vigente,2113.3
Moneda nacional,Bansí,May 2020,Vigente,206.63
Moneda nacional,BBVA Bancomer,May 2020,Vigente,20722.73
Moneda nacional,BIAfirme,May 2020,Vigente,0
Moneda nacional,CIBanco,May 2020,Vigente,355.49
Moneda nacional,Consubanco,May 2020,Vigente,0
Moneda nacional,Dondé Banco,May 2020,Vigente,14.75
Moneda nacional,Finterra,May 2020,Vigente,20.17
Moneda nacional,HSBC,May 2020,Vigente,3089.6
Moneda nacional,ICBC,May 2020,Vigente,0
Moneda nacional,Inbursa,May 2020,Vigente,1602.23
Moneda nacional,Inmobiliario Mexicano,May 2020,Vigente,621.21
Moneda nacional,Intercam Banco,May 2020,Vigente,553.91
Moneda nacional,Invex,May 2020,Vigente,595.13
Moneda nacional,J.P. Morgan,May 2020,Vigente,0
Moneda nacional,KEB Hana Bank,May 2020,Vigente,0
Moneda nacional,Mizuho Bank,May 2020,Vigente,10.63
Moneda nacional,Monex,May 2020,Vigente,553.68
Moneda nacional,MUFG Bank,May 2020,Vigente,5.37
Moneda nacional,Multiva,May 2020,Vigente,878.46
Moneda nacional,Sabadell,May 2020,Vigente,168.81
Moneda nacional,Santander,May 2020,Vigente,15996.24
Moneda nacional,Scotiabank,May 2020,Vigente,1730.55
Moneda nacional,Shinhan,May 2020,Vigente,39.45
Moneda nacional,Total Banca Múltiple,May 2020,Vigente,73239.66
Moneda nacional,Ve por Más,May 2020,Vigente,977.56
UDIS,ABC Capital,May 2020,Vencido,0
UDIS,Accendo Banco,May 2020,Vencido,0
UDIS,Actinver,May 2020,Vencido,0
UDIS,Autofin,May 2020,Vencido,0
UDIS,Banamex,May 2020,Vencido,0
UDIS,Banca Mifel,May 2020,Vencido,0
UDIS,Banco Base,May 2020,Vencido,0
UDIS,Banco del Bajío,May 2020,Vencido,0
UDIS,Bankaool,May 2020,Vencido,0
UDIS,Banorte,May 2020,Vencido,0
UDIS,Banregio,May 2020,Vencido,0
UDIS,Bansí,May 2020,Vencido,0
UDIS,BBVA Bancomer,May 2020,Vencido,0
UDIS,Finterra,May 2020,Vencido,0
UDIS,HSBC,May 2020,Vencido,0
UDIS,ICBC,May 2020,Vencido,0
UDIS,Inbursa,May 2020,Vencido,0
UDIS,Inmobiliario Mexicano,May 2020,Vencido,0
UDIS,Intercam Banco,May 2020,Vencido,0
UDIS,Invex,May 2020,Vencido,0
UDIS,Monex,May 2020,Vencido,0
UDIS,MUFG Bank,May 2020,Vencido,0
UDIS,Multiva,May 2020,Vencido,0
UDIS,Sabadell,May 2020,Vencido,0
UDIS,Santander,May 2020,Vencido,0
UDIS,Scotiabank,May 2020,Vencido,0
UDIS,Total Banca Múltiple,May 2020,Vencido,0
UDIS,Ve por Más,May 2020,Vencido,0
UDIS,ABC Capital,May 2020,Vigente,0
UDIS,Accendo Banco,May 2020,Vigente,0
UDIS,Actinver,May 2020,Vigente,0
UDIS,Afirme,May 2020,Vigente,0
UDIS,Autofin,May 2020,Vigente,0
UDIS,Banamex,May 2020,Vigente,0
UDIS,Banca Mifel,May 2020,Vigente,0
UDIS,Banco Ahorro Famsa,May 2020,Vigente,0
UDIS,Banco Azteca,May 2020,Vigente,0
UDIS,Banco Base,May 2020,Vigente,0
UDIS,Banco del Bajío,May 2020,Vigente,0
UDIS,BanCoppel,May 2020,Vigente,0
UDIS,Bancrea,May 2020,Vigente,0
UDIS,Bank of America,May 2020,Vigente,0
UDIS,Bank of China,May 2020,Vigente,0
UDIS,Bankaool,May 2020,Vigente,0
UDIS,Banorte,May 2020,Vigente,0
UDIS,Banregio,May 2020,Vigente,0
UDIS,Bansí,May 2020,Vigente,0
UDIS,BBVA Bancomer,May 2020,Vigente,1.47
UDIS,BIAfirme,May 2020,Vigente,0
UDIS,CIBanco,May 2020,Vigente,0
UDIS,Consubanco,May 2020,Vigente,0
UDIS,Dondé Banco,May 2020,Vigente,0
UDIS,Finterra,May 2020,Vigente,0
UDIS,HSBC,May 2020,Vigente,0
UDIS,ICBC,May 2020,Vigente,0
UDIS,Inbursa,May 2020,Vigente,0
UDIS,Inmobiliario Mexicano,May 2020,Vigente,0
UDIS,Intercam Banco,May 2020,Vigente,0
UDIS,Invex,May 2020,Vigente,0
UDIS,J.P. Morgan,May 2020,Vigente,0
UDIS,KEB Hana Bank,May 2020,Vigente,0
UDIS,Mizuho Bank,May 2020,Vigente,0
UDIS,Monex,May 2020,Vigente,0
UDIS,MUFG Bank,May 2020,Vigente,0
UDIS,Multiva,May 2020,Vigente,0
UDIS,Sabadell,May 2020,Vigente,0
UDIS,Santander,May 2020,Vigente,0
UDIS,Scotiabank,May 2020,Vigente,0
UDIS,Shinhan,May 2020,Vigente,0
UDIS,Total Banca Múltiple,May 2020,Vigente,1.47
UDIS,Ve por Más,May 2020,Vigente,0
